comment,sentiment
yes wind propulsion way due talked least last year arrived yet wont hold breath hope flettner rotor ship designer consider dimple rotor golf ball originally smooth discovered caddy playing old knocked ball flew thus dimpled ball invented hexagon dimple tried found sucessful banned wing sail advantage flettner sail need continuous power rotate ok need intermittent power trim hopefully consider variable camber slotsflaps optimal efficientcy either case sail could incorporate solar cell power another alternative perhaps obvious vertical wind turbine driving conventional screw propeller perhaps coupled existing shaft tech see would allow ship sail directly wind another tech may worth looking might coander effect sail would variation proven technology notar helicopter tail boom tea clipper refer square rigged operated optimally wind aft quadrant relied sucess highly detailed wind chart prevailing strength direction time year compiled two thing killed commercially labour intensive nature operation suez canal mainly latter steam ship better able exploit former labour intensive could overcome powered winch computer control wind power ship could implemented modern version called fore aft rigged ship eg schooner rig sail best across wind mean best deg wind best deg thrust incidentally effectively wing sail worked principle curved shape canvas forming aerofoil lifting ship forward technology report limitation serious consideration container ship cruise liner side wind aerodynamic brick must suffer considerable leeway drift wind mean best direction wing sail flettner rotor worst leeway least bulk carrier low freeboard better candidate solution yes wind harnessed improve carbon footprint whatever propulsors fitted work route optimised wind perhaps multiple solution shoud used eg wing sail vertical turbine driving screw,Positive
wind sail seems cheaper practical solution high tech return root shipping,Positive
shipping industry carbon emission world here crazy idea get rid emission first look shipping really want start putting dent carbon emission number let address elephant room biggest polluter world china india going hope shutting carbon emission going conquer forcibly switch fossil fuel literal gunpoint two country shape carbon neutral world pipe dream,Positive
nobody ever get coandă effect right wind flux line painfully wrong,Negative
use water current like water sail,Positive
stem background im curious system rotor sail power generator electric engine would practical would seem wind direction would irrelevant thanks everyone participates,Positive
mv ashington uk aqua city usuki japan achieved percent fuel saving using contemporary wingsail design idea wasnt pursued due fall cost oil seem protracted difficult resurrect improve technology,Positive
six stroke engine,Neutral
hi matt interesting video watch believe allow lot people learn understand challenge wind propulsion naval architect working shipping industry specifically working wind assisted propulsion would like point little inaccuracy diagram show slightly incorrect drag mention necessarily opposite direction movement sail probably positioned correctly certain though always direction apparent wind direction therefore thrust call forward direction force always combination lift drag depending direction apparent wind example running downwind sail positioned provides drag direction apparent wind therefore pushing ship forward may wanted refer resistance force ship need overcome order move forward always opposite direction movement dedicated wikipedia page explaining force interact think fascinating anyone interested sailing thanks lot video,Positive
make think youtube video blow sail mean possible collect transmit energy big thing controlling power loss friction heat wiring docked could maintain spin charge battery returning sea powering everything dockside hookup necessary dock power yeah hybrid system redundancy best got ta keep weight power ratio great possible autonomy lazy cowardly captain first m also thing making easier although definitely still need crew maintain ship control etc im talking course correction etc maybe favorable travel faster storm via energy collection possibly robbing storm destructive force energy sync ing accelerate forward momentum,Positive
ok long ago tonight stated seeing cargo ship solar something saw changed also sure sure shipping hasnt done something micro nuclear actual thing even cost could push price market wide scale mean aircraft carrier new micro unit arent terrible,Positive
sail kite reducing fuel consumption cargo ship,Neutral
elonmusk,Neutral
sailboat wind powered ship sailboat,Neutral
hi matt truly fantastic video check artemis technology youtube channel well worth look maritime decarbonisation,Positive
going discus localization drastic reduction globalization drastically reduce amount cargo needed shipped first place,Neutral
think main problem consumption productsgoods force much transportation first place would reduce need transportation use tech could good chance real difference,Positive
read title response,Neutral
hear one never done definitely could use smr power,Negative
,Neutral
lmfao,Positive
atomic energy cargo cruise ship already year nuclear powered war ship submarine operate decade refueling discussed kind new smaller nuclear reactor another video use nuclear powered ship green fuel,Positive
wind sea river appropriate along thevgrain wave,Neutral
could idea applied automobile,Neutral
course could look reducing amount cargo transported like everything made china shipped half way around world someone europe u buy cheap plastic crap electronic gadget dont really need,Neutral
nice filter,Positive
blocking cargo china would great,Positive
maybe wind solar combo might work,Neutral
also parachute take le space deployed ship leaf port save lot fuel take le space collapsible,Positive
could make generator use electric engine power ship,Neutral
wind great ship stop using primary source sort supplement,Positive
somebody definitely sailed around world way,Positive
bi ion technology quant e,Neutral
took u long enough seems like weird art future would look starting make sense remember seeing futuristic ship sail car turbine book full art,Positive
pretty cool maybe invent method drying clothes using solar wind could backyard,Positive
cant load sailship crane sail unpractical containership,Neutral
rotor charge huge battery power electric propeller,Positive
sail boat,Neutral
carbon emission glad focusing thing make huge impact,Positive
new approach year old,Neutral
going nuclear powered ship tech exists decade reliable using wind power,Neutral
tech already used ive worked vessel year back use,Neutral
youre shipping good youre already destroying ecology matter fuel use use fuel life giving nutrient function circle draw nutrient crop wood product one area bring another depleting circle primary example farming constantly extracting prairie ship food cite leaf prairie depleted since nutrient food modern farming decreased almost half nutrient others meaning weight gain variety health problem since food becoming practically worthless much beneficial way save shipping fuel ship save fuel transport fuel going making maintaining ship truck human urine shit dumped sea mean literally pissing away soil nutrient depend life negativity affect sea life depend well never mind economy cant live within closed loop local biome make human life possible survival make money irrelevant,Negative
wind powered ship mean strap big sail xd,Positive
love channel bro keep coming por favor love free education considering brilliant thing think humanity ought use device way yeah like building bridge see enormous bridge china popping imagine putting one ft tall bridge wind blow powerfully height may god bless evermore amen,Positive
one good gust sunk,Positive
every port worth salt geared open top container vessel leaf tanker cruise ship able use sail last two think cruise ship would interested shut two year dont think anyone right mind would invest sail especially youd need full sized backup engine fitter well oil run,Positive
hate one storm come yikes,Negative
quite true ship powered electric motor diesel engine powering electric,Positive
nice touch roberto carlos goal analogy,Positive
rotor blade vertical could work horizontally well ie side ship,Positive
many bald men youtube,Neutral
oh theyve invented sail whatever next,Neutral
high altitude kite bladder filled helium ive seen technology demonstrated look promising,Positive
back cargo carrier tried kite sail seems like much easier retrofit,Positive
think mankind stop wasting time something like wind powered cargo ship get solving real threat environment climate change cow fart,Negative
human technology yet world look shit,Negative
there also kite work airseas,Neutral
stupid,Negative
big problem nothing implementation economics bear cost benefit owner ship arent people pay fuel renter large upfront cost owner hard justify saving go renter instead yes could say theoretically able charge renting ship renter recoup cost fuel saving hard sell client looking low price ultimately renter need show keen type tech installed ship rent keep fuel cost vote pocketbook ultimately becomes chicken egg situation uncommon renter wont care wont seek benefit,Positive
technic old one use,Neutral
using wind circumnavigate sea guy come wacky idea,Neutral
long time ago read article big kite would attached front freight ship thereby harnessing little wind energy suppose work sailing direction wind windspeed exceeding ship speed hmm maybe ill google see find,Negative
excuse ignorance there probably myriad easy answer think itd worth digging conventional sailing nonstarter,Positive
interesting didnt think would effective,Neutral
imagine massive cargo ship filled battery charged wind travel port port whenever dock act massive plug country grid duration offloading,Negative
could wind revolutionize shipping tried many many time possible practical even desirable sail car office make much sense,Positive
ad transition smooth,Neutral
awesome video somewhat problet treat problem seriously world cargo moved responsible co emission like yeah nice look wouldnt put high priority list especially consider presented tech give best case scenario le emission gained whole world co emission,Positive
container go,Neutral
sure want travel around kt,Positive
designer philip c bolger commented reason power replaced sail cargo delivery allowed faster delivery allowed total trip life ship old sail ship pretty labor intensive although coming even day clipper windjammer power winch labor saving device possibility cost calculation eventually change back wind,Positive
wish green movement would stop focusing much cox emission briefly mentioned sox emission ship construction equipment together nox much worse pollutant largely eliminated road going vehicle first world country entirely close remain major problem third world international shipping environmentally could much better assist developing nation use better fuel diesel emission control sinking billion renewables mostly still proofofconcept phase rooftop solar major exception,Positive
used called sailboat,Neutral
would good see nuclear ship massive ship go near country also optimised loading unloading big barge thought,Positive
wind power interesting ship rare wind open sea save fuel emission economically sound many ship perhaps container hauler room take high need ship work,Positive
wind never answer commerce diesel get time every time,Neutral
well informed reasoned video usual keep good work guy,Positive
far seen wind option tanker bulk none container ship dont drastically decrease cargo capacity,Neutral
rotor sail would make sense smaller one dont need fold attached generator create power recharge battery pack use electric engine,Positive
rotor sail ship sailing passenger ferry turku fin stockholm swe fuel saving werent much rotor sail actually removed sometime last year maintenance apparently problem ship mostly sailing inside finnish aland swedish archipelago wasnt enough open sea make efficient im hoping well get see route helsinki stockholm there lot open sea,Positive
hmminstead ship build intercontinental railway connects everywhere solar nuclear powered train run mean decongest ocean preventing pollution idea behind snowpiercer seeing passenger train many cargo one,Neutral
imagine tacking freighter,Neutral
manufactured ammonia significant carbon footprint co need deducted co saved use therefore claim carbon saving need stated honestly,Positive
know arent historian took eurocentric view early ship technology china much ahead ship design much earlier european design,Neutral
nuclear powered ship already use tech power gigantic aircraft carrier,Neutral
using wind powered ship science gone far,Neutral
way bio synthetic fuel possible commercial way nuclear power inefficient process manufacture,Neutral
видел камышь как на ветру калышиться тонкое чтоб не переломилось и в воде что то подобное видел,Neutral
а с дымовыми шашками как смотриться,Neutral
human saiyajin angel kalki ironman th matriya buddha th arc angel th satguru th imam th avatar almighty god human type kalki ironman christ white horseson man cloud type jarvis world first artificial intelligence parrot cuz kalki ironman batman every super hero combined jarvis world first artificial living like vision marvel universe made quantum sub quantum particle power source quantum energy arc reactor type level technology kalki ironman going every kind arc reactor like type nuclear fission nuclear waste hydrogen fusion type antimatter arc reactor solid liquid gas type electro quantum arc reactor type quantum arc reactor type limitless quantum energy arc reactor without quantum particle kalki ironman going sun box million billion ton hydrogen nuclear fusion reactor type like sun star palm hand going happened self replicating quantum nanobots knowledge energy technique type respectively,Positive
made new far efficient boat propeller look promising wind thing oil tanker flat top cargo surface ship throw couple sail like back day along normal engine reduce fuel consumption doesnt even need multi million dollar new high tech super sail straight hemp sail,Positive
people forgetting nuclear power proven power source military ship submarine,Neutral
good grief use nuclear cargo ship,Negative
idiot shipping emission shipping emission fucking dumbass,Negative
fuel cell efficient compared ic engine time electrical revolution maritime industry,Positive
could stop buying much unnecessary junk,Negative
hmmm make hollow pipe throughtout leght ship let water enter moving inside pipe could put rotor thatll move water thus creating electricity could stored battery full recharded ship use energy move ship engine,Positive
wind power ship wow nobody thought,Positive
magnificent,Positive
called sail boat,Neutral
wow never would thought wind power could move ship age live amazing,Positive
b technology populism believed lazy people dont want basic math,Negative
co significant impact global warming ffs,Negative
thing maersk investment layman like seems superficial b industry discussed cheap unless talking single ship thats stupidly expensive financially sustainable take b produce single ship set aside let say yr worth fund fuel sound like horrendous exchange anyone would wanting invest,Negative
try sub shipping larger market like modified recreational sailing vessel kinda like hot shot sailboat get paid sail around world could carry weight keel fleet like amazon could reach place faster,Positive
manufacturing local much pollution manufacturing local pollution regs,Neutral
automated wing foil kite much simpler take le space theyre ready thing,Positive
great video mariner think many forget different ship different trade different requirement power propulsion instance wind probably work well deep sea trading ie large tanker bulkers etc trade continent work vessel instance serving offshore installation like wind etc costal short sea trade therefore dont think one solution fit rather combination someone commentated ship also need power idle manoeuvring clean fuel like amonia hydrogen solution type ship,Positive
basically might better future go back past,Positive
sail,Neutral
dilettante waste min time knowledge needed talk thing like googling enough,Negative
love video may give opinion really hard focus stay engaged video youre giving u huge data dumb like historical fact would better get point start go detail people want opened vid looked interesting lost energy around,Positive
dont make freight ship nuclear powered would make almost green,Neutral
give hug people treasured net hug,Positive
overly pessimistic lol youll know end year game changer,Positive
also paint sail solar cell,Neutral
shipping contributes global carbon emission thought would much much,Neutral
reason fossil fuel driven shipping superseeded windpowered shipping great part reliable scheduling punctuality allows greater efficiency standardization,Positive
use rotating mass rotating sail turn generator charge battery lot battery,Neutral
theyre called sailboat ive actually seen one incredible gasoline,Neutral
government successfully safely operating nuclear ship year isnt time commercial industry try nuclear cargo ship,Positive
say project good paper introduction wold work good working project wold harvest energy move ship moving ship via electricity wold get x cost saving energy clean wind force pushing ship generating electric energy move also sadly almoust contry wold give permit construction ship release bc amount fuel use fuel need buyed,Positive
screw propeller hurt marine animal directly sonically,Negative
solar panel sail,Neutral
besides taking advantage wind power boat also take solar power two power source plus battery storage complement provide ship unlimited range power need,Positive
mega ton ok metric ton would small,Positive
issue sail highly efficient free,Positive
london today christmas,Neutral
yes possible wind powered ship thing dont go bad case wind still,Positive
boat sail really work,Neutral
missed skysail,Negative
trying make money free stuff fake money charge poor,Negative
race disasterour home planet waaay behind,Neutral
anyone else got reminded paolo bacigalupi,Neutral
like using wind possible however think long term larger ship use small scale reactor,Positive
almost global cargo traffic emits co id say go innovate somewhere else,Positive
clipper ship coming back,Neutral
much looked use sea example seawater fuel sea current riding sea floor walkersvehicles researched option electric hope stronger form quantum electrical generator carbon nanotube generate energy anything like sea thought,Positive
start,Neutral
install windmill complement electric powerplants run electric motor push ship forward screw,Negative
definitely worth otherwise leave wasteland earth next generation,Positive
nuclear,Neutral
sail idea obsolete latest technology using windmill power generated drive motor drive propeller wind ship forward motion turn windmill technology approved aoc greta thunberg al gore ipcc epa name,Positive
using wind brainer ship,Neutral
future cargo transport internet,Neutral
wouldnt small nuclear reactor sort currently used submarine excellent solution would scalable large power need could operate time depending intermittent wind co emission,Positive
ive seeing similar photo ship like one cropping every year year started time flying car seriousness enough wind boost pay sail apparatus also shipping industry time reliability money im sure wind would always cooperate cause shipping executive even consider,Positive
hope oil company transform slowly greener company,Positive
couldnt rotor sail also harness electricity store used power ship cant use sail,Neutral
since tower spinning couldnt also use energy generate electricity,Negative
megayacht mechanic worked one first hybrid boat electric drive train like would need certain situation thiers wind would likely well salt water environment far longevity chasing ghost electrical sytems ending bieng powered likely traditional diesel engine trust one maybe series prototype ton rd though maybe remember safe ensured lloyd london size,Positive
nuclear powered boat,Neutral
like concept shown honestly group green technology consuming society good go donate research hopefully progress faster,Positive
save money pas along cost one even notice dollar two per container government would require fine saving fuelpollution,Positive
day wait california idle entire time pollution much much higher year offshore idle waiting,Neutral
nuclear must possible option many naval ship using lot research mini nuclear power plant,Neutral
mention skysail,Neutral
didnt highlight kite assisted power also propell ship much smaller footprint cargo vessel,Negative
see future methanol amonia,Neutral
would wind rotor catch wind container stacked around,Neutral
