comment,sentiment
"Call me cwazy but........
Why couldn't there be submersible cargo vessels with only the sails above the water?
Isn't it more stable submerged?",Negative
Fascinating report. The graphics made it much easier for non scientists. Thank you.,Positive
Wouldn't be best to use traditional sails? way more contact and no shenenigans,Negative
"With all the dire content on yt and social media lately, I love vids like this that give me hope for humanity.",Positive
The advantage of ships running on ammonia and shipping ammonia is that they can never run out of fuel.,Positive
Pirates of the Caribbean feels like a sci-fi movie after watching this video.,Positive
"Worked great in the past. Given how far we've come, technologically, no reason we can't improve on Arnold tech!",Positive
"I've often wondered why sails made primarily of small wind powered generators to operate an assisting propeller, while naturally working as a traditional sail as well, hasn't been invented. Surely this would reduce fuel costs.",Negative
"https://youtu.be/MdI191-vNlc

Athu funnel alla wind energy  use cheyan anu.",Positive
"Wind is free, people would be stupid not to take advantage of it!
The fuel industry will try slow that down tho..",Positive
"the way I see it, the only realistic way of it being used is by attaching wind generator and use the power to turn the prop and making coffee",Neutral
So a clipper from hundreds of years ago goes how fast??😂,Neutral
"Wind powered ships, we are truly living in the future 🤩",Positive
"Using the wind sails is definitely a great idea as we are heading towards a future where global warming is the main head-on issue for the entire globe. Its no shame to use ancient technologies and try to reverse engineer it for the shake of future. I mean thats why we learn history, thats why knowing the history is important for.",Positive
"Bonjour. Je pense qu'il serait bénéfique et préférable de faire des navires de type ""catamaran"" ... cela éviterait les problèmes de forte gîte pouvant mettre à mal les fixations des containers et autres cargaisons.",Neutral
I’d love to see sails make a big comeback for ships,Positive
Well the only valid test is during a storm how the sails will work.,Positive
"Cargo ships account for the worlds 3% carbon emissions while transferring 98% of the worlds cargo (from food and cement down to your phone and pc) they do not need radical changes. More efficient engines, hulls, paints and so on are enough to keep them as the most eco-friendly means of transport. The cost of doing something like that is immense and will make an already extremely volatile business, dry bulk shipping operates at a loss 30% of the time, at the cost 60% of the time and profits only 10% of the operating time. The profit is generated either if you manage to sell the ship while the market is high, which is hard, or by scrapping the vessel at the end of her life.",Positive
How about ships the float on water? I mean rise above the water,Neutral
Why aren't we getting ammonia from sewage?!,Neutral
You sure take a long time to get to the point.,Positive
"Alors déjà j em..de la communauté yt de la censure !
Et 2ème arrêtez de mentir sur le co2 qui est absolument pas une cause du soit disant réchauffement des pieds nickelés de dav os !
Quand même merde !!!",Neutral
What about nuclear powered container ships?,Neutral
"this might be totally goofy or maybe someone's already done it, but why can't we just put a wind generator on the deck and have it run an electric motor that runs the ship? or even have more than one on the deck?",Neutral
"I can’t imagine the rotors are as efficient as sails, bc it seems like sails would have more resistance then turned into thrust, than the rotors would have, as they seem like they’d lose some spinning. So the wind, to resistance, to thrust, seemingly would be less with the spinning things. but idk.",Negative
Fresh tea) lol . Fresh opium would be more correct)),Positive
"This is all the wrong approach at wind power.  

The goal should be to build smaller unmanned cargo sailboats at huge quantities.

The industrial age has always been fueled by business.  All these green alternatives must be approached with skepticism.  Because if you look at the numbers, they're nothing more than virtue signaling projects that cost more than the wealth they generate.

If you can't stop China and India from pumping out toxic fumes, you're just asking to bankrupt your country as other nations prove more competitive with global business.

The biggest hurdle to the most dense green energy resource which is nuclear, are the environmentalists.",Negative
A hybird of some sort could be useful; but you can't leave a cargo sitting in the middle of no where incapable of movement due to a lack of wind.  Becalming is a real thing and many died in history gone by becalmed.  Wind can aid when available.,Negative
Fusion reactor is now here,Neutral
What about using water soluble hydrocarbons such as methane it's methane could be generated using anaerobic digesters and stored at large volumes in the ballast and sucked off as needed. It would involve little to no change to the engines as diesel engine can run off methane.,Negative
"Why not talk about nuclear, that naval ships already use and have used for decades?",Neutral
"If we can lay cable on the ocean for internet, why can’t we lay some for electricity and plug in some ships and run them on electric power. I’m not saying grid the ocean with electricity, but couldn’t we run some on the most traveled route(s)?",Neutral
"Question, what are the efficiency gains of rotor sail and wing sail over traditional sails?",Positive
I'm betting on small thorium reactors.,Neutral
"I can't tell you how happy it makes me that the football analogy uses THAT Roberto Carlos goal. I would say that perhaps only 20% of the audience recognised it, but they will be a very happy 20%.",Negative
Jaque Custue  experimented with rigid aluminium sales. Seemed to make sense.,Negative
If we get back 50% of energy it also a success !!!,Positive
This which craft was being experimented in the 70s,Neutral
Alternate fuels are used on Monday Wednesday and Friday. Or did you mean alternative fuels.,Neutral
Shipping something from china to mainland Europe then transporting by electric freight trains and transferred to more ships only when they need to be moved across water unlikely as the world is round shipping lanes are currently contested and cause wars therefore the land transit can make the land transportation that ultimately has to be made done green also reduced ship in times for import and export allowing competition of green technology rather than the amount of geopolitical costs,Negative
"I wish you'd gone over how the fuel savings of these technologies compared to the cargo capacity sacrificed to accommodate them. Saving fuel is all well and good, but not if it means you're using more fuel per unit of cargo overall.",Positive
Shipping is already extremely efficient.  It costs as little as 3$ USD to move a 3ft^2 box of any weight around the entire planet because cargo ships are EXTREMELY fuel efficient.  The future of transportation...  just a fleeting waste of effort used to justify costs on completely unrelated projects.,Positive
You completely forget kites...,Negative
Whatever happened to the below the water wave powered mechanism?,Neutral
Horizontal wind turbines rollers type . For Trucks trailer container carrier. Generate electricity charge battery driveing day and night,Neutral
It better be used on passenger ships too,Positive
"Oh yeah..letd go backwards to 1850....lol
I put a sheet on top of my pickup, works good till I hit a hill. I put an electric motor on it, but it went dead before I got to the charging station...lol.
You know if you studied history, many sailors perished at sea when there were long seasons of no wind...this green crap is just that.. CRAP.  GOD PUT OIL AND GAS ON THIS EARTH FOR OUR BENEFIT. SAME WITH COWS FOR MEAT AND EVERYTHING ELSE. BUT IF YOU DONT BELIEVE IN OUR CREATOR GOD, HAVE AT IT, BUT ITS DUMB. GENESIS THE FIRST BOOK OF THE BIBLE SAYS THERE WILL BE SEED TIME AND HARVEST TILL HE RETURNS. BUT IF YOU HAVE TO WORSHIP THE CREATION MORE THAN THE CREATOR GOD, HAVE AD IT.",Positive
We should start moving towards feet powered cars… they are using them in the town of Bedrock. 🛺,Neutral
"I'm sure there's a long way to go in designing electric motors with an adequate energy to power output ratio, but I wonder if using solid state wind turbines to provide power/store power for electric engines could be an option. It seems like that could be viable either on its own or in tandem with the rotor sail.",Positive
"The real madness and idiocy is to electrolyze water to produce hydrogen then use hydrogen in producing methane, ethanol, ammonia and other chemicals, WHY this torture and money and time waste? Use H2 directly in internal combustion machines or in electricity generation.....",Negative
"anything to avoid relying less on globalism
things will never become better again",Negative
"one upside to ammonia fuel— you don't need to add odorant to warn people of a leak, it comes with it's own!",Negative
"It’s a good idea   But not right reason 
Green is RED",Positive
Political leverage for global techno Marxism- save the oil,Positive
Diesel engines provide valuable minerals to bond composite materials,Positive
"Hygrocarbons are free energy produced by microbes in Marcellus shale deposits 
Environmentalism is communism",Positive
"Nuclear powered cargo ship,  the only feasible choice to 100% eliminate oil use in this century.",Neutral
Bruh,Neutral
Hi Over forty years ago when loading a replacement generator down into the engine room I forgot to fully secure the top awning behind the funnel. When the ship sailed the next day the wind pivoted the awning up onto the back of the funnel by a following wind. I had to wait the wind had abated before dropping it back in place. When we calculated the daily figures the propeller slip had changed showing the positive effect the sail had made on the ships performance. It was just a novelty then.  What I can’t understand why ships don’t cover their upper decks with solar panels. Container ships could roll out flexible panels on top of the containers to reduce fossil fuel use for the electrical load.  Ex marine engineer,Positive
Hi over forty years ago as a ships engineer when loading a replacement generator I forgot to secure the lop awning behind the funnel. When we sailed the wind pivoted the awning up,Positive
"Eu nu aș face tracțiune ÎN AER, CI ÎN APĂ. Efectul Magnus, nu. (la valuri de 25 m trosnește). Pânze de yole, nu. Răstoarnă vasul.
O turbină Exa Wind, cu ax vertical, se poate ridica telescopic(+ ancore + pale) pompeazăaer comprimat. Acest aer comprimat este injectat într-o rețea, pe toată suprafața navei sub linia de plutire. Cu apă luată din fața navei asigură reacție în babord +tribord sub formă de spumă ( ceea ce face frecarea mai mică.).   !!!     (Sub navă va fi pompată apă fără aer). Altfel se scufundă. Ai și direcția dorită (indiferent de direcția vântului)",Neutral
"lol .. do you really think the sailing ships will make a comeback for commercial shipping?!? Not happening. How are you going to stack literally thousands of containers on ... 4 or more high above deck ... and have the sails be able to catch the wind? Sail would increase costs. The sailing vessel would need a considerably larger crew. Depending on the number of masts, the sailing ship could require a crew at least 10 ... 20 times larger than a diesel powered cargo ship, negating the ""fuel cost savings"".
Clipper ships were replaced by powered cargo ships because the latter were faster, could carry considerably more cargo, and required 1/4 or less crew than a comparable size clipper ship. Also, when the breezes stopped, so did the Clipper Ships. Remember the term ""BECALMED""?  Powered ships are immune to that.

Dream on. For a ship to be profitable it has to carry a certain amount of cargo. The ships get bigger because it costs less to run one ship that can carry 2000 containers than it does two smaller ships that can carry 1000 containers, or four even smaller ships that can only hold 500 containers.

Wind powered cargo ships are obsolete; a thing of the past. They will not return.",Positive
Wht ever i won't pay taxes.. Either every single person pay tax Or i won't pay any taxes..,Positive
flettner was the inventer of a working machine savonius rotors are still not more practical than windbells,Neutral
"i think it naive to assume that we can just improve something of the past by virtue of general advances in tech, windjammers are technically still cutting edge, as they were never developped further
i seriously doubt we will see container sailing on a large scale but there is a viable alternatic to use the resources of the sea to propell a ship with 2-stroke diesels efficiently and clean it´s just not what you think",Positive
"This is the kind of stuff we need rather than the ""Just buy an electric car"".",Positive
"Columbus would be in aww... Who would of thunk it, Wind powering ships.",Neutral
"I think all of these next gen design ships is the expensive way of going about this. I think we should go back into sailing how we left sailing. It was conversion, if we take paid off ships and ask industry to pay for a green upgrade and give them a tax break we'd learn what works and what doesn't work in the real world.

Oh and as bad @$$ as clippers where they where moving way less mass. Oh and I've been a sailor since the 2nd grade and I'm now a father so I know a bit about sailing.",Negative
"Cargo ships use bunker fuel which produce higher emissions than any other fuel.  Also, 16 cargo ships produce the same pollution as all cars on the planet.",Neutral
"As ships by definition move on water, why is there no concept of generating hydrogen by solar or wind energy and using it as fuel? You wouldn‘t need fuel tanks because you‘re literally swimming in a huge one. You could use both solar and wind energy so if there is no wind … vice versa. Out on the ocean oftentimes there is both. As for the exhaust fumes: Water vapor … Storage if necessary: Tanks so small they’re just enough for getting to the next breeze. If you use wind columns as shown, why not let them be turned by wind and harvest additional power?",Positive
why can't the aim be to increase efficiency? why does it have to be political CO2 bullshit,Negative
I wish that the ship was prettier.,Positive
Thank You for a great content.  I am fascinated by all renewable energy as well.  I wish the war in Ukraine would end and we could all be constructive together.,Positive
"Anytime you are advancing science and engineering in the name of the planet!, you're doing good by mankind and the planet! Keep going please.",Positive
"Why not the old sail, but with the modern technological parts?
Cheap, reliable, does not require skilled labor, low maintenance cost, no energy conversion losses.",Negative
"I think heavy oil have to be banned first. The engines would run with diesel without any upgrade, so changing to diesel could happen without any heavy disruption. This would lead to adobtion.",Negative
"You don't need air purifiers to get rid of your allergies.
Go for Intermittent Fasting and a Ketogenic diet and your immune system will dial itself back down to normal. Worked for me and I didn't even give up carbs completely although sugar is a definite no.",Positive
"How about Thorium? Relatively Cheap and Abundant, could power a Ship for decades? Oh Yeah, I guess they would have to deal with the Radioactive Metallic Chemicals.",Positive
"Rotor sail technology... but on grain silos, Idk could be interesting for farmers.",Positive
"It gets me every time. I think it's  the channel "" just have a think""  and then it's,  oh yeah that's  right,  there's  another  dude who's his double just about with a similar themed  channel .",Positive
"I know this concept for decades already, yet there has been no progress at all ...",Positive
"Shoutout to the KTH lab they show the prototype in, walk past there often and sometimes you get to see something interesting like this.",Positive
It worth to take the wind energy,Positive
Applause to Mr. Sorokin!,Positive
"Great as they might be, there is a problem I see with sails, you can only put sails on a vessel if they don't obstruct the vessels function. This limits the use of sails to only a couple ship types: RoRo (car carrier), livestock, cruise ships and bulk carriers/ tankers. Container ,multi purpose vessels and coasters are the tree primary vessel types that would really benefit from a more environmentally friendly form of propulsion, but due to them being loaded from the top a sail would not work (and because a multi purpose ship often already has cranes). 
Also you kept mentioning klippers (20kn) were faster that modern day shipping, this is true in some sectors but not in the sectors you mentioned. Pretty much all modern containers ships go 20-24 knots when traveling large distances over the ocean, only extremely large bulk/tankers vessels or more smaller/coastal vessels go under 20 knots.",Positive
Nuclear? Energy density vs cost is what drives adoption. Returning back to wind be regressive and only happen if governments mandated such a change.,Positive
"Interesting concepts! But let's not forget the most obvious way to have less emissions/pollution from global shipping - less global shipping... Stop buying stuff you don't need, produce items locally when possible, repair/sell instead of throwing away... You know what I mean.",Negative
A cruiseferry between Finland and Sweden had a rotor sail for about 2 years before it was uninstalled. Any savings in fuel savings were negligible compared to its maintenance costs.,Neutral
Sails. Or clean burning whale oil. You won’t smell anything aside from ‘whale’ ever again.,Positive
Oh snap China invented sailing.,Neutral
"I like the idea of wind better than methanol and ammonia. The cylinders did a great job and they looked small compared to the size of the ship. Maybe it’s possible to scale them up
Is nuclear energy not being looked at? Probably too expensive… but I know there’s lots of small nuclear reactors being developed. Maybe one of these smaller nuclear reactors combined with wind would be ideal",Positive
How about kite power.  Very light and cheap with a lifting effect as well,Positive
"Nuclear powered military vessels have existed for decades, we could easily make civilian versions.",Positive
"https://youtu.be/MdI191-vNlc?t=143  ""In the 1950, oil started to be used...""  really???",Neutral
"I'm seeing a giant hydrogen filled sail pulling when it needs to, supplying gas to power the ship into the wind.  Easy to make hydrogen from sea water isn't it?",Positive
You mean a technology we've been using for THOUSANDS of years is the future....,Neutral
Its like nobody pays attention to Pirates Of The Caribbean.,Positive
"I should have thought the rather obvious alternative to ships altogether is electric rail.  There is already a rail link between China and Europe (albeit not much used at the moment - see Yiwu–London railway line - Wikipediahttps://en.wikipedia.org › wiki › Yiwu–London_railwa...) and it is 'only' 56 miles between Russia and continental America (with a rather convenient stop-off halfway across in the Diomede Islands.  A rail tunnel bridging the 2 continents is totally within the technical abilities of mankind right now.  It seems the only problems is, as ever, the politics.",Neutral
"old ships weighed under 100 tons, modern fully loaded cargo ships can weight up to 220000 tons",Neutral
"I remember a while back to see some prototypes to use kite sails to aid in navigation, I wonder were those projects went....",Neutral
"They should also look at bilge dumping, probably worse pollution than the carbon pollution.",Negative
"Did not wind propel ships for centuries already? Like, for ages? I mean... what?",Positive
Electric cargo ships using hydro power. The ship has channels along the hull with turbines in it creating power for the motor. Problem solved,Positive
I heard about wind turbine ships in the 1980’s why aren’t they already carrying cargo?  The fact that the Technology was known in the 1900s is even more shaming. You really can’t expect me to get too serious about the government claim that the changes in climate are going to be bad for us when no one will  even make the effort to put the technology into place until centuries after it’s invented.,Negative
What about the reduction of the noise in the oceans.,Neutral
Just put a shell over the ship to protect the cargo and then cover the shell in solar panels. You could also create foldaway fins made of flexible solar panels to generate more power during fair weather travel.,Positive
"While wind based propulsion is tricky for container-ships which need a lot of free space on and above the decks for the container-cranes to do their work, this does not need to be a hurdle for other areas of maritime transport.
Transporting liquids like fuel which can be pumped in and out of the tanks or carrying certain types of bulk goods, depending on their mode of loading and unloading could be done old-school.
There aren't many reasons other than economies of scale and crew wages relative to fuel cost as well as slightly less consistent transport times that would prevent the use of primarily sail-powered transport ships.
While steam engines started to be used in the mid 19th century, sailing transports remained viable well into the 20th century, with ""windjammers"" enjoying popularity up until WWII, so revisiting the windjammer for non-container transport wouldn't even be that far fetched.
Obviously a modern windjammer would require a more conventional auxiliary propulsion system, probably a combustion engine, but even this could be augmented. Say the prop shaft isn't driven directly by the backup engine but is a hybrid-electric system with an array of batteries forming part of the ships ballast. Furthermore, sail area is surface area which could potentially be partially used to capture solar energy to further reduce consumption of combustible fuels by auxiliary generators - even moving only on sails a large transport would still need to keep the lights on and the navigation & communication systems running.",Positive
When humanity grows up and learns to use technology responsibly all large ships will be nuclear.,Neutral
"Package late, no wind",Neutral
How many journalists does it take to write all those puns?,Neutral
I imagine these wing sails are a nice thing to have if you have a engine failure in the middle of nowhere,Negative
I say wind power work... either that and compact nuclear energy. The Navy did use nuclear ships and subs and it took around 20 years for a new core for the small reactors. They can use both as a hybrid power.,Positive
Commenting before watching the video: Wind powered ships? As an auxiliary power source I assume?,Neutral
"Yes, wind propulsion is way over due.  It has been talked about for at least the last 30 years and not arrived yet so I won't hold my breath.
I hope the flettner rotor ship designers will consider dimples on their rotors.  Golf balls were originally smooth until it was discovered that caddies playing with old knocked about balls flew further.  Thus the dimpled ball was invented.  In the 1970s hexagon dimples were tried and found so sucessful that they were banned!
Wing sails have an advantage over flettner sails in that they do not need continuous power to rotate them (ok they need intermittent power to trim them).  Hopefully they will consider variable camber and slots/flaps for optimal efficientcy.
In either case the sails could incorporate solar cells to power them.
Another alternative, which is perhaps too obvious, is vertical wind turbines driving conventional screw propellers perhaps coupled to the existing shafts.  That is the only tech I can see which would allow the ship to sail directly into wind.
Another tech that may be worth looking at might be coander effect sails.  This would be a variation on the proven technology of the NOTAR helicopter tail booms.
The tea clippers you refer to were square rigged.  They operated most optimally with the wind from the aft quadrants.  They relied for their sucess on the highly detailed wind charts of prevailing strength and direction with time of year compiled in the 1840s.  Two things killed them off commercially, the labour intensive nature of their operation and the Suez canal, mainly the latter, which steam ships were better able to exploit.  The former (labour intensive) could be overcome with powered winches and computer control or some such.  Wind power for ships could be implemented in a modern version.
So called fore and aft rigged ships eg schooner rig sail best into or across the wind, but by that we mean at best about 45 deg (into) to the wind and best at 90 deg (for thrust).  They were incidentally effectively wing sails because they worked on the principle of the curved shape of the canvas forming an aerofoil lifting the ship forward.  Both the technologies you report here will have the same limitations.
A serious consideration for container ships or cruise liners is that to a side wind they are aerodynamic bricks which must suffer considerable leeway (drift down wind) which means the best direction for wing sails or Flettner rotors are worst for leeway.  At least bulk carriers can have a low freeboard so they will be better candidates for these solutions.
Yes the wind should be harnessed to improve their carbon footprint but whatever propulsors are fitted, to work the routes and so on will have to be optimised to the wind and perhaps multiple solutions shoud be used eg wing sails with vertical turbines driving screws.",Positive
The wind sail seems to be the cheaper and more practical solution. After all it will be a high tech return to the roots of shipping.,Positive
"Shipping industry is 2.5% of carbon emissions for the world.
Here's a crazy idea: Get rid of the other 97.5% of emissions first, then look at shipping. And if you really want to start putting a dent in those carbon emissions numbers, let's address the elephant in the room. The biggest polluters in the world are China and India. If we're going to have any hope of shutting down carbon emissions, we're going to have to conquer them and forcibly switch them off of fossil fuels at literal gunpoint. Until those two countries shape up, a carbon neutral world is a pipe dream.",Positive
Why nobody ever gets the Coandă effect right? Wind flux lines at 7:05 are painfully wrong.,Negative
can you use water current like a water sail,Positive
"Not having a STEM background, I'm curious if a system of rotor sails that power generators for electric engines would be practical. It would seem that the wind direction would then be irrelevant. Thanks to everyone who participates.",Positive
"The MV Ashington (UK), Aqua City and Usuki (Japan) all achieved about 30 percent fuel saving using 2 contemporary wingsail designs in the 1980s and 1990s but the idea wasn't pursued due to falls in the cost of oil.   Why does it now seem so protracted and difficult to resurrect and improve that technology now?",Positive
Six stroke engines.....,Neutral
"Hi Matt, this was a very interesting video to watch which I believe will allow a lot of people to learn and understand more about the challenges for wind propulsion. I am a Naval Architect working in the shipping industry and specifically working on wind assisted propulsion. I would just like to point out a little inaccuracy, the diagram you show at https://youtu.be/MdI191-vNlc?t=443 is slightly incorrect. The Drag as you mention is not necessarily in the opposite direction of movement (if it is, the sail is probably not positioned correctly), what is certain though is that it will always be in the same direction of the apparent wind (which can be in any direction). Therefore, the Thrust (or what we call the forwards direction force) will always be a combination of lift and drag depending on the direction of the apparent wind. For example when running downwind, the sail will be positioned so that it only provides Drag (in the same direction of the apparent wind therefore pushing the ships forwards).

What you may have wanted to refer to was the resistance force that the ship needs to overcome in order to move forward, this is always in the opposite direction of movement. There is a dedicated wikipedia page explaining how all of those forces interact with each other and I think is it fascinating for anyone interested in sailing: https://en.wikipedia.org/wiki/Forces_on_sails

Thanks a lot for the video!",Positive
"this makes me think about the YouTube video ""blow your own sails"" i mean it's possible to collect and transmit that energy the big thing is controlling power losses through friction and heat of wiring when docked they could maintain spin to charge batteries for returning to sea and just powering everything dockside with no hookups necessary for dock power  so yeah hybrid system with all the redundancies is best but gotta keep it's weight to power ratio as great as possible autonomy for lazy or cowardly captains and first m8s also being a thing just making it easier although you definitely still need a crew to maintain the ship  and it's control etc I'm talking course corrections etc maybe favorable to travel faster through storms via energy collection possibly robbing the storm of it's destructive force energy sync ing it to accelerate your forward momentum",Positive
"ok just not long ago tonight I stated not seeing cargo ships on solar, but something I saw on here changed that.
also not sure why not sure why shipping hasn't done something with micro nuclear being an actual thing (even with its cost, it could push the price down on a market wide scale). I mean they do have Aircraft carriers and the new micro units aren't terrible.",Positive
Sail Kite is reducing % 10 of fuel consumption of cargo ships.,Neutral
#elonmusk,Neutral
"It's a sailboat.

not a ""wind powered ship""

it's a sailboat.",Neutral
"Hi Matt, a truly fantastic video!  Check out Artemis Technologies (they have a Youtube channel), well worth a look for maritime decarbonisation.",Positive
"So, are you going to discuss localization & drastic reduction in globalization to drastically reduce the amount of cargo needed to be shipped in the first place?",Neutral
"I think that the main problem is  our consumption of products/goods that force that much of transportation in the first place.
If we would reduce the need of transportation and use this tech we could have a good chance to a real difference.",Positive
"Me: reads title 
response: no",Neutral
"Or, and hear me out on this one, it's never been done before, definitely not, we could use smr for the power",Negative
NO.,Neutral
LMFAO,Positive
