video_id,author,like_count,published_at,text,clean_text,sentiment_score,sentiment_label,keyphrases,barriers,topics
MdI191-vNlc,@troystiles1033,0,2024-12-22T22:08:47Z,Is not a cross between hard sails and a Magnus effect generating rotating tower not the most efficient design if the aero physics work?,is not a cross between hard sails and a magnus effect generating rotating tower not the most efficient design if the aero physics work,-0.3078,Negative,cross|hard|sails|magnus|effect|generating,,
MdI191-vNlc,@vincentleone1833,0,2024-10-17T00:29:04Z,This would appear to raise the center of gravity closer to the center of Buoyancy decreasing the stability.,this would appear to raise the center of gravity closer to the center of buoyancy decreasing the stability,0.0,Neutral,center|would|appear|raise|gravity|closer,,
MdI191-vNlc,@IsaacKuo,0,2024-08-07T18:22:51Z,"I wonder if a sort of sail-tug could work. I mean, it's like a kite but the ""kite"" stays floating on the water. The main cargo ship does not need any modification, or it could be designed with a smaller engine and fuel tanks.

Each sail-tug superficially looks like a tall sailboat, but there is no keel. Instead, lines to the cargo ship act like kite lines, and the cargo ship's entire hull acts like the ""keel"". Since the lines go horizontally to the cargo ship, there's no heeling even if the sail is very tall.

A sail-tug could be built with less initial investment, and could hook up to different unmodified cargo ship clients on the fly. It's even possible to ""skip"" the time needed to load/unload cargo, by detaching from a client ship about to unload cargo, and immediately hooking up with a different client ship that's departing.",i wonder if a sort of sail-tug could work i mean it's like a kite but the kite stays floating on the water the main cargo ship does not need any modification or it could be designed with a smaller engine and fuel tanks each sail-tug superficially looks like a tall sailboat but there is no keel instead lines to the cargo ship act like kite lines and the cargo ship's entire hull acts like the keel since the lines go horizontally to the cargo ship there's no heeling even if the sail is very tall a sail-tug could be built with less initial investment and could hook up to different unmodified cargo ship clients on the fly it's even possible to skip the time needed to load unload cargo by detaching from a client ship about to unload cargo and immediately hooking up with a different client ship that's departing,0.7096,Positive,cargo|ship|cargo ship|sail|could|like,,ship
MdI191-vNlc,@Thetipsyknightfishing,0,2024-07-28T23:59:06Z,Did you know that in 2024 people are devolving backwards it’s sad to see that some scientists in the world can be the dumbest people in the world to make wind powers boats and say it’s the future of transportation I would like to go back in time and tell our ancestors that this is what people are doing now a days,did you know that in 2024 people are devolving backwards it s sad to see that some scientists in the world can be the dumbest people in the world to make wind powers boats and say it s the future of transportation i would like to go back in time and tell our ancestors that this is what people are doing now a days,-0.5994,Negative,people|world|know|devolving|backwards|sad,,wind|transport|port
MdI191-vNlc,@swim2kill,0,2024-07-16T01:06:33Z,Full circle,full circle,0.0,Neutral,full|circle|full circle,,
MdI191-vNlc,@albertopajuelomontes2066,0,2024-07-07T15:43:58Z,we have already the technology for shiping without creating any polultion its called nuclear power,we have already the technology for shiping without creating any polultion its called nuclear power,-0.2235,Negative,already|technology|shiping|without|creating|polultion,,ship
MdI191-vNlc,@viarnay,0,2024-06-29T09:58:43Z,I'm a sailing enthusiast but cargo ships only add 3% CO2 just for moving ALL THE GOODS WE CONSUME IN THE WORLD I think is a good and efficient way to move huge cargos..,i'm a sailing enthusiast but cargo ships only add 3 co2 just for moving all the goods we consume in the world i think is a good and efficient way to move huge cargos,0.9052,Positive,sailing|enthusiast|cargo|ships|add|moving,,ship
MdI191-vNlc,@brettbarager9101,0,2024-05-23T21:07:17Z,"As soon as you went on a rant about your sponsor, I left the channel. There are enough commercials already!",as soon as you went on a rant about your sponsor i left the channel there are enough commercials already,-0.34,Negative,soon|went|rant|sponsor|left|channel,,
MdI191-vNlc,@allanthomas6097,0,2024-04-26T15:02:13Z,Not a chance in hell,not a chance in hell,0.4449,Positive,chance|hell|chance hell,,
MdI191-vNlc,@peterworsley4699,1,2024-04-01T19:05:48Z,"You say lift on a wingsail comes from asymmetrical wingshape, this is untrue - a symmetrical wingshape also works. Think about aerobatic planes that fly upside down! They have symmetrical airfoils. The symmetrical airfoil produces plenty of lift - the B17 bomber of WW2 had a symmetrical wing and had no problem carrying heavy weights.",you say lift on a wingsail comes from asymmetrical wingshape this is untrue - a symmetrical wingshape also works think about aerobatic planes that fly upside down they have symmetrical airfoils the symmetrical airfoil produces plenty of lift - the b17 bomber of ww2 had a symmetrical wing and had no problem carrying heavy weights,-0.5994,Negative,symmetrical|lift|wingshape|say|wingsail|comes,,
MdI191-vNlc,@m.e.345,0,2024-03-17T12:13:24Z,"""Cargo Ship sets sail to test Wind Power at Sea""
https://www.youtube.com/watch?v=EVdVGniJNgU",cargo ship sets sail to test wind power at sea,0.0,Neutral,cargo|ship|sets|sail|test|wind,,wind|ship
MdI191-vNlc,@JohnSmith-pc3gc,0,2024-03-17T06:37:30Z,"They might get a bonus from the government, but they might try something else.  If they put up a one hundred meter by one hundred meter sail in a 120 mph wind, there would be about one billion watts of wind energy trying to get through the ten thousand square meters of the sail area.  If they turned off the engine and sailed downwind, at 30%efficiency, the propeller might generate 300 million watts of electricity.  That is about 1.5 kg of hydrogen per second at 75% efficienct electrolysis. . If they kept a constant heading slightly towards the eye of the hurricane, they would gradualky get closer to the eye wall where the winds are stronger.  The hurricane would carry them for thousands of miles.
If the hurricane lasted ten days, they would generate about a million kg of hydrogen which is the equivalent of about 50,000 barrels of oil or the equivalent of about 20 days ofuel for a container ship.  With the waves always behind them, they would surf down the huge waves instead of slamming the bow into them.  At $10/kg they might make more money just sailing around in hurricanes and tropical storms and selling hydrogen  than they do delivering cargo.
Something much smaller than a cargo ship might accomplish this.  Two parallel cylinders maybe ten meters in diameter and two hundred meters long arranged like a catamaran migh work. With big fins and wing like structures, the two cylinders that are slightly bouyant could slide under the waves down to about 10 meters below the surface with just streamlined, narrow support structures slicing through the 100 foot  waves with little resistance or disturbance from the waves.  
The right kind of prpelkers on the submerged cylinders might get 30% effuciency ior 300 million watts from the available wind energy.  In a season with 10 hurricanes that woukd add up to about a hundred million dollars. Figuring  all of the tropical storms might bring it uo to 200 million.  100 such vessels might make  20 billion dollars wirth of hydrogen in one hurricane season.",they might get a bonus from the government but they might try something else if they put up a one hundred meter by one hundred meter sail in a 120 mph wind there would be about one billion watts of wind energy trying to get through the ten thousand square meters of the sail area if they turned off the engine and sailed downwind at 30 efficiency the propeller might generate 300 million watts of electricity that is about 1 5 kg of hydrogen per second at 75 efficienct electrolysis if they kept a constant heading slightly towards the eye of the hurricane they would gradualky get closer to the eye wall where the winds are stronger the hurricane would carry them for thousands of miles if the hurricane lasted ten days they would generate about a million kg of hydrogen which is the equivalent of about 50 000 barrels of oil or the equivalent of about 20 days ofuel for a container ship with the waves always behind them they would surf down the huge waves instead of slamming the bow into them at 10 kg they might make more money just sailing around in hurricanes and tropical storms and selling hydrogen than they do delivering cargo something much smaller than a cargo ship might accomplish this two parallel cylinders maybe ten meters in diameter and two hundred meters long arranged like a catamaran migh work with big fins and wing like structures the two cylinders that are slightly bouyant could slide under the waves down to about 10 meters below the surface with just streamlined narrow support structures slicing through the 100 foot waves with little resistance or disturbance from the waves the right kind of prpelkers on the submerged cylinders might get 30 effuciency ior 300 million watts from the available wind energy in a season with 10 hurricanes that woukd add up to about a hundred million dollars figuring all of the tropical storms might bring it uo to 200 million 100 such vessels might make 20 billion dollars wirth of hydrogen in one hurricane season,0.9796,Positive,might|would|million|waves|get|one,,wind|ship|port
MdI191-vNlc,@Toopeeneekeenho,0,2024-03-07T10:37:07Z,10:44 wrong facts there about methanol,10 44 wrong facts there about methanol,-0.4767,Negative,wrong|facts|methanol|wrong facts|facts methanol,,
MdI191-vNlc,@CUBETechie,0,2024-02-16T15:24:26Z,My thoughts are like this if it use wind but can it use Solarpanels too they became so light and could be easy implemented on such ship and the sea reflects the sun so it would be placed on both sites,my thoughts are like this if it use wind but can it use solarpanels too they became so light and could be easy implemented on such ship and the sea reflects the sun so it would be placed on both sites,0.6808,Positive,use|thoughts|like|wind|solarpanels|became,,wind|ship
MdI191-vNlc,@Lukastaylor8731,0,2024-01-31T03:00:45Z,"What about nuclear cargo shipping?😮😂
I th8nk wind power is more clean and cheaper…
But i knew nothing about shipping at all.😂",what about nuclear cargo shipping i th8nk wind power is more clean and cheaper but i knew nothing about shipping at all,0.2492,Positive,shipping|nuclear|cargo|wind|power|clean,,wind|ship
MdI191-vNlc,@bradclifton5248,0,2024-01-10T20:04:02Z,I think all out technological advances need to review old tech and make sure we haven't thrown the baby out with the bath water.,i think all out technological advances need to review old tech and make sure we haven't thrown the baby out with the bath water,0.3182,Positive,think|technological|advances|need|review|old,,
MdI191-vNlc,@garyturner5810,0,2024-01-01T15:28:04Z,"There is a reason that sailing ships were relegated to tourist boats and historic ships in the worlds navies the moment there was an alternative to sail available.  Sail was gone. These ships although futuristic looking and pretty are infected by the same issues that original sail ships had and that is that thay all half developed bad ideas have amd most green tech has and that is that to use them we need to allow our society to decay and it simply isnt worth the price. From what I can see climate change is unprovable and all this backwards facing technology is pointless and it only exists to serve a half baked scientific theory that this is all half developed technology based on arguments that are so weak that governments have called it a settled science to avoid arguments and criticism. Climate isn't settled anything. It can not be proved without a time machine. Sailing ships are slow, inefficient, and unreliable as they can only sail when the wind blows. Sometimes, it simply dosent. Its just common sense to not to wish to go back and live in caves, so stop being silly woke children get better educated and just grow up!!",there is a reason that sailing ships were relegated to tourist boats and historic ships in the worlds navies the moment there was an alternative to sail available sail was gone these ships although futuristic looking and pretty are infected by the same issues that original sail ships had and that is that thay all half developed bad ideas have amd most green tech has and that is that to use them we need to allow our society to decay and it simply isnt worth the price from what i can see climate change is unprovable and all this backwards facing technology is pointless and it only exists to serve a half baked scientific theory that this is all half developed technology based on arguments that are so weak that governments have called it a settled science to avoid arguments and criticism climate isn't settled anything it can not be proved without a time machine sailing ships are slow inefficient and unreliable as they can only sail when the wind blows sometimes it simply dosent its just common sense to not to wish to go back and live in caves so stop being silly woke children get better educated and just grow up,-0.9569,Negative,ships|sail|half|sailing|developed|simply,economic,climate|wind|ship
MdI191-vNlc,@catmatism,0,2023-11-08T03:10:37Z,"No matter how much we try to reduce emission in maritime which contributes only 3%, we could never overcome climate change problem due to meat production which necessitates deforestation, transportation, packaging.",no matter how much we try to reduce emission in maritime which contributes only 3 we could never overcome climate change problem due to meat production which necessitates deforestation transportation packaging,-0.5859,Negative,matter|much|try|reduce|emission|maritime,,climate|transport|port
MdI191-vNlc,@bradfordthompson8326,0,2023-09-18T20:52:23Z,"The power of The Wind is Amazing  look at all The wasted power ....Why not use this God's free wind To push a Ship when the wind is going ""Your way""... WE THICK ITS COOOL THAT MOL CONTAINER SHIPS ROUTE PLANNERS PREPLAN A TRIP by the direction  of the tides &Wind",the power of the wind is amazing look at all the wasted power why not use this god's free wind to push a ship when the wind is going your way we thick its coool that mol container ships route planners preplan a trip by the direction of the tides wind,0.5994,Positive,wind|power|amazing|look|wasted|use,,wind|ship
MdI191-vNlc,@bradfordthompson8326,1,2023-09-18T20:47:11Z,"Great innovative  Ideas ....Until they learn more Why not be different  and test a theory /Concepts...This and your ""Shows"" will only inspire more Concepts  to test ....😊😅😮😢🎉😂❤...Thanks for sharing ..........a new Concepts??...HOPEFULLY THEY TRY this neat Idea on the new Washington state FERRIES  new Hybrid  ferries..many GODS prayers 🙏....  😊😊❤❤❤❤",great innovative ideas until they learn more why not be different and test a theory concepts this and your shows will only inspire more concepts to test thanks for sharing a new concepts hopefully they try this neat idea on the new washington state ferries new hybrid ferries many gods prayers,0.9705,Positive,concepts|new|test|ferries|great|innovative,,
MdI191-vNlc,@philo8035,0,2023-09-08T16:02:29Z,The amount of incorrect visuals in this video has my head spinning.,the amount of incorrect visuals in this video has my head spinning,0.0,Neutral,amount|incorrect|visuals|video|head|spinning,,
MdI191-vNlc,@MagnusOrkzyd,2,2023-09-02T21:58:48Z,"You mean to tell me that wind power is the past, present, and future of sea travel?",you mean to tell me that wind power is the past present and future of sea travel,0.0,Neutral,mean|tell|wind|power|past|present,,wind
MdI191-vNlc,@arthouston7361,0,2023-08-30T00:09:17Z,I actually had to giggle when I read the title of this video. If someone believes that this is the future of ocean cargo transportation….well…..let’s just say I wouldn’t ride in a car that they were driving,i actually had to giggle when i read the title of this video if someone believes that this is the future of ocean cargo transportation well let s just say i wouldn t ride in a car that they were driving,0.5994,Positive,actually|giggle|read|title|video|someone,,transport|port
MdI191-vNlc,@patrickweaver1105,0,2023-08-29T00:31:34Z,Only in a post apocalyptic hellscape where people wear pants made of fish skin. No matter what wind technology you use you still come up against the same issues that caused the age of sail to end. Wind is unreliable and doesn't go where you want to very often.,only in a post apocalyptic hellscape where people wear pants made of fish skin no matter what wind technology you use you still come up against the same issues that caused the age of sail to end wind is unreliable and doesn't go where you want to very often,-0.7351,Negative,wind|post|apocalyptic|hellscape|people|wear,,wind
MdI191-vNlc,@aaronsilverberg2137,0,2023-08-24T18:48:25Z,"years ago I found wind sails that work sort of like a parasail for a windsurfer, maybe you could feature them, where they are and how they could factor into the decarbonization of ships puzzle.  Thanks!",years ago i found wind sails that work sort of like a parasail for a windsurfer maybe you could feature them where they are and how they could factor into the decarbonization of ships puzzle thanks,0.6258,Positive,could|years|ago|found|wind|sails,,wind|ship
MdI191-vNlc,@MoosaIb,0,2023-08-23T00:00:26Z,They finally understand the tech from 3500bc,they finally understand the tech from 3500bc,0.0,Neutral,finally|understand|tech|finally understand|understand tech,,
MdI191-vNlc,@TRaySteeves,0,2023-08-22T12:09:47Z,"Call me cwazy but........
Why couldn't there be submersible cargo vessels with only the sails above the water?
Isn't it more stable submerged?",call me cwazy but why couldn't there be submersible cargo vessels with only the sails above the water isn't it more stable submerged,-0.3934,Negative,call|cwazy|submersible|cargo|vessels|sails,,
MdI191-vNlc,@tessellatiaartilery8197,0,2023-08-22T09:14:24Z,Fascinating report. The graphics made it much easier for non scientists. Thank you.,fascinating report the graphics made it much easier for non scientists thank you,0.8316,Positive,fascinating|report|graphics|made|much|easier,,port
MdI191-vNlc,@ackkipfer,0,2023-08-01T23:01:29Z,Wouldn't be best to use traditional sails? way more contact and no shenenigans,wouldn't be best to use traditional sails way more contact and no shenenigans,-0.7033,Negative,best|use|traditional|sails|way|contact,,
MdI191-vNlc,@robfreeman5783,0,2023-07-30T14:30:36Z,"With all the dire content on yt and social media lately, I love vids like this that give me hope for humanity.",with all the dire content on yt and social media lately i love vids like this that give me hope for humanity,0.765,Positive,dire|content|social|media|lately|love,,
MdI191-vNlc,@dalsenov,0,2023-07-30T09:39:03Z,The advantage of ships running on ammonia and shipping ammonia is that they can never run out of fuel.,the advantage of ships running on ammonia and shipping ammonia is that they can never run out of fuel,0.25,Positive,ammonia|advantage|ships|running|shipping|never,,ship
MdI191-vNlc,@allah___maadarchod,0,2023-07-29T04:18:44Z,Pirates of the Caribbean feels like a sci-fi movie after watching this video.,pirates of the caribbean feels like a sci-fi movie after watching this video,0.3612,Positive,pirates|caribbean|feels|like|sci|movie,,
MdI191-vNlc,@juanmazara402,0,2023-07-24T13:58:19Z,"Worked great in the past. Given how far we've come, technologically, no reason we can't improve on Arnold tech!",worked great in the past given how far we've come technologically no reason we can't improve on arnold tech,0.1265,Positive,worked|great|past|given|far|come,,
MdI191-vNlc,@tristanrainey5080,0,2023-07-19T13:22:44Z,"I've often wondered why sails made primarily of small wind powered generators to operate an assisting propeller, while naturally working as a traditional sail as well, hasn't been invented. Surely this would reduce fuel costs.",i've often wondered why sails made primarily of small wind powered generators to operate an assisting propeller while naturally working as a traditional sail as well hasn't been invented surely this would reduce fuel costs,-0.0788,Negative,often|wondered|sails|made|primarily|small,economic,wind|cost
MdI191-vNlc,@psvisakhan,0,2023-06-30T18:57:35Z,"https://youtu.be/MdI191-vNlc

Athu funnel alla wind energy  use cheyan anu.",athu funnel alla wind energy use cheyan anu,0.296,Positive,athu|funnel|alla|wind|energy|use,,wind
MdI191-vNlc,@DANES_GINGER_BEARD,0,2023-06-23T08:50:40Z,"Wind is free, people would be stupid not to take advantage of it!
The fuel industry will try slow that down tho..",wind is free people would be stupid not to take advantage of it the fuel industry will try slow that down tho,-0.212,Negative,wind|free|people|would|stupid|take,,wind
MdI191-vNlc,@ilham7345,1,2023-06-02T01:33:34Z,"the way I see it, the only realistic way of it being used is by attaching wind generator and use the power to turn the prop and making coffee",the way i see it the only realistic way of it being used is by attaching wind generator and use the power to turn the prop and making coffee,0.0,Neutral,way|see|realistic|used|attaching|wind,,wind
MdI191-vNlc,@RealRickJames,0,2023-05-22T01:52:12Z,So a clipper from hundreds of years ago goes how fast??😂,so a clipper from hundreds of years ago goes how fast,0.0,Neutral,clipper|hundreds|years|ago|goes|fast,,
MdI191-vNlc,@SenneVorsselmans,0,2023-05-21T18:35:22Z,"Wind powered ships, we are truly living in the future 🤩",wind powered ships we are truly living in the future,0.4404,Positive,wind|powered|ships|truly|living|future,,wind|ship
MdI191-vNlc,@riturajchoudhary9551,0,2023-05-21T06:50:22Z,"Using the wind sails is definitely a great idea as we are heading towards a future where global warming is the main head-on issue for the entire globe. Its no shame to use ancient technologies and try to reverse engineer it for the shake of future. I mean thats why we learn history, thats why knowing the history is important for.",using the wind sails is definitely a great idea as we are heading towards a future where global warming is the main head-on issue for the entire globe its no shame to use ancient technologies and try to reverse engineer it for the shake of future i mean thats why we learn history thats why knowing the history is important for,0.4939,Positive,future|thats|history|using|wind|sails,,wind|port
MdI191-vNlc,@charlesdominiquemassida8241,0,2023-05-02T13:17:25Z,"Bonjour. Je pense qu'il serait bénéfique et préférable de faire des navires de type ""catamaran"" ... cela éviterait les problèmes de forte gîte pouvant mettre à mal les fixations des containers et autres cargaisons.",bonjour je pense qu'il serait b n fique et pr f rable de faire des navires de type catamaran cela viterait les probl mes de forte g te pouvant mettre mal les fixations des containers et autres cargaisons,0.0,Neutral,des|les|bonjour|pense|serait|fique,,
MdI191-vNlc,@FluffyEnbyneering,0,2023-04-29T21:34:07Z,I’d love to see sails make a big comeback for ships,i d love to see sails make a big comeback for ships,0.6369,Positive,love|see|sails|make|big|comeback,,ship
MdI191-vNlc,@im_a_simulation,0,2023-04-21T14:35:31Z,Well the only valid test is during a storm how the sails will work.,well the only valid test is during a storm how the sails will work,0.2732,Positive,well|valid|test|storm|sails|work,,
MdI191-vNlc,@nikpapado9785,3,2023-04-21T09:50:57Z,"Cargo ships account for the worlds 3% carbon emissions while transferring 98% of the worlds cargo (from food and cement down to your phone and pc) they do not need radical changes. More efficient engines, hulls, paints and so on are enough to keep them as the most eco-friendly means of transport. The cost of doing something like that is immense and will make an already extremely volatile business, dry bulk shipping operates at a loss 30% of the time, at the cost 60% of the time and profits only 10% of the operating time. The profit is generated either if you manage to sell the ship while the market is high, which is hard, or by scrapping the vessel at the end of her life.",cargo ships account for the worlds 3 carbon emissions while transferring 98 of the worlds cargo from food and cement down to your phone and pc they do not need radical changes more efficient engines hulls paints and so on are enough to keep them as the most eco-friendly means of transport the cost of doing something like that is immense and will make an already extremely volatile business dry bulk shipping operates at a loss 30 of the time at the cost 60 of the time and profits only 10 of the operating time the profit is generated either if you manage to sell the ship while the market is high which is hard or by scrapping the vessel at the end of her life,0.8268,Positive,time|cargo|worlds|cost|ships|account,economic,ship|transport|cost|port
MdI191-vNlc,@heinuchung8680,1,2023-03-30T19:10:13Z,How about ships the float on water? I mean rise above the water,how about ships the float on water i mean rise above the water,0.0,Neutral,water|ships|float|mean|rise|ships float,,ship
MdI191-vNlc,@Zaihanisme,0,2023-03-11T04:41:08Z,Why aren't we getting ammonia from sewage?!,why aren't we getting ammonia from sewage,0.0,Neutral,getting|ammonia|sewage|getting ammonia|ammonia sewage,,
MdI191-vNlc,@petemccutchen3266,0,2023-03-08T10:40:59Z,You sure take a long time to get to the point.,you sure take a long time to get to the point,0.3182,Positive,sure|take|long|time|get|point,,
MdI191-vNlc,@sounorlater3591,0,2023-02-26T06:20:59Z,"Alors déjà j em..de la communauté yt de la censure !
Et 2ème arrêtez de mentir sur le co2 qui est absolument pas une cause du soit disant réchauffement des pieds nickelés de dav os !
Quand même merde !!!",alors d j j em de la communaut yt de la censure et 2 me arr tez de mentir sur le co2 qui est absolument pas une cause du soit disant r chauffement des pieds nickel s de dav os quand m me merde,0.0,Neutral,alors|communaut|censure|arr|tez|mentir,,
MdI191-vNlc,@raywest3834,0,2023-02-13T21:14:28Z,What about nuclear powered container ships?,what about nuclear powered container ships,0.0,Neutral,nuclear|powered|container|ships|nuclear powered|powered container,,ship
MdI191-vNlc,@uturniaphobic,1,2023-02-13T18:57:23Z,"this might be totally goofy or maybe someone's already done it, but why can't we just put a wind generator on the deck and have it run an electric motor that runs the ship? or even have more than one on the deck?",this might be totally goofy or maybe someone's already done it but why can't we just put a wind generator on the deck and have it run an electric motor that runs the ship or even have more than one on the deck,0.0,Neutral,deck|might|totally|goofy|maybe|someone,,wind|ship
MdI191-vNlc,@davidwavidshmavider,5,2023-02-01T10:55:58Z,"I can’t imagine the rotors are as efficient as sails, bc it seems like sails would have more resistance then turned into thrust, than the rotors would have, as they seem like they’d lose some spinning. So the wind, to resistance, to thrust, seemingly would be less with the spinning things. but idk.",i can t imagine the rotors are as efficient as sails bc it seems like sails would have more resistance then turned into thrust than the rotors would have as they seem like they d lose some spinning so the wind to resistance to thrust seemingly would be less with the spinning things but idk,0.2382,Positive,would|rotors|sails|like|resistance|thrust,,wind
MdI191-vNlc,@andyhandyman2118,0,2023-01-10T19:42:21Z,Fresh tea) lol . Fresh opium would be more correct)),fresh tea lol fresh opium would be more correct,0.7506,Positive,fresh|tea|lol|opium|would|correct,,
MdI191-vNlc,@markvincentcocjin,0,2022-12-19T13:14:34Z,"This is all the wrong approach at wind power.  

The goal should be to build smaller unmanned cargo sailboats at huge quantities.

The industrial age has always been fueled by business.  All these green alternatives must be approached with skepticism.  Because if you look at the numbers, they're nothing more than virtue signaling projects that cost more than the wealth they generate.

If you can't stop China and India from pumping out toxic fumes, you're just asking to bankrupt your country as other nations prove more competitive with global business.

The biggest hurdle to the most dense green energy resource which is nuclear, are the environmentalists.",this is all the wrong approach at wind power the goal should be to build smaller unmanned cargo sailboats at huge quantities the industrial age has always been fueled by business all these green alternatives must be approached with skepticism because if you look at the numbers they're nothing more than virtue signaling projects that cost more than the wealth they generate if you can't stop china and india from pumping out toxic fumes you're just asking to bankrupt your country as other nations prove more competitive with global business the biggest hurdle to the most dense green energy resource which is nuclear are the environmentalists,-0.0848,Negative,business|green|wrong|approach|wind|power,economic,wind|cost
MdI191-vNlc,@BlondieSuperdog,1,2022-12-18T19:49:44Z,A hybird of some sort could be useful; but you can't leave a cargo sitting in the middle of no where incapable of movement due to a lack of wind.  Becalming is a real thing and many died in history gone by becalmed.  Wind can aid when available.,a hybird of some sort could be useful but you can't leave a cargo sitting in the middle of no where incapable of movement due to a lack of wind becalming is a real thing and many died in history gone by becalmed wind can aid when available,-0.9166,Negative,wind|hybird|sort|could|useful|leave,,wind
MdI191-vNlc,@ralphpremici7632,0,2022-12-16T11:11:58Z,Fusion reactor is now here,fusion reactor is now here,0.0,Neutral,fusion|reactor|fusion reactor,,
MdI191-vNlc,@industrialnerd5535,0,2022-11-21T12:19:53Z,What about using water soluble hydrocarbons such as methane it's methane could be generated using anaerobic digesters and stored at large volumes in the ballast and sucked off as needed. It would involve little to no change to the engines as diesel engine can run off methane.,what about using water soluble hydrocarbons such as methane it's methane could be generated using anaerobic digesters and stored at large volumes in the ballast and sucked off as needed it would involve little to no change to the engines as diesel engine can run off methane,-0.6022,Negative,methane|using|water|soluble|hydrocarbons|could,,
MdI191-vNlc,@christofferravn4486,0,2022-11-17T11:19:45Z,"Why not talk about nuclear, that naval ships already use and have used for decades?",why not talk about nuclear that naval ships already use and have used for decades,0.0,Neutral,talk|nuclear|naval|ships|already|use,,ship
MdI191-vNlc,@nicksurfs1,1,2022-11-09T15:00:41Z,"If we can lay cable on the ocean for internet, why can’t we lay some for electricity and plug in some ships and run them on electric power. I’m not saying grid the ocean with electricity, but couldn’t we run some on the most traveled route(s)?",if we can lay cable on the ocean for internet why can t we lay some for electricity and plug in some ships and run them on electric power i m not saying grid the ocean with electricity but couldn t we run some on the most traveled route s,0.0,Neutral,lay|ocean|electricity|run|cable|internet,,ship
